code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	0.04422764227642276	2017-10-26	14463503316.78	6703586404.01	163.7524	1.9592	48.8293	18.8454	2.3336	7.5032	0.1397
000585.XSHE	0.02276422764227642	2017-10-31	340035683.37	159302820.11	45.9393	-4.4326	-133.3238	-46.173	25.1718	-170.2154	-0.0091
000591.XSHE	0.008211382113821143	2017-10-25	32634665051.14	20570745745.9	183.433	2.5011	-14.6021	28.0801	1.5789	20.3185	0.0978
000682.XSHE	0.00463414634146341	2017-10-30	4605385225.29	1532633206.18	52.1361	0.5079	6.4462	87.2924	3.0578	5.8448	0.0089
000806.XSHE	0.03300813008130081	2017-10-28	3172829478.16	1021319499.48	118.3505	1.1485	-116.3961	919.3386	5.766	9.1242	0.0216
000922.XSHE	0.002195121951219516	2017-10-28	2864344222.23	1377955951.41	44.3089	3.2338	-489.1414	-10.147	3.0789999999999997	12.3843	0.087
002028.XSHE	0.0063414634146341554	2017-10-21	6609568149.55	2150995365.7	128.4754	0.9173	29.0489	36.5584	3.0052	4.7713	0.05
002058.XSHE	0.039349593495934955	2017-10-28	213151768.4	30572118.54	27.8864	1.337	1768.309	531.8399	15.4791	8.1556	0.0169
002074.XSHE	0.062357723577235756	2017-10-27	12804743263.11	8289410172.0	278.1992	4.4257	26.9701	26.985	6.4763	14.3638	0.22
002090.XSHE	0.04227642276422767	2017-10-27	4043524760.01	2793147078.81	60.5684	2.7155	33.1913	55.4719	5.0038	7.6666	0.1338
002112.XSHE	0.07097560975609755	2017-10-27	1189251181.42	738421228.63	37.5178	-5.2082	-81.44800000000001	713.8081	7.8995	-15.1784	-0.12
002121.XSHE	0.011951219512195113	2017-10-26	14886882348.96	10041688671.62	143.1907	2.9404	10.488	52.6833	3.1604	10.876	0.0991
002129.XSHE	-0.025447154471544706	2017-10-23	28071005018.35	16264031717.93	217.8851	1.5958	10.4916	54.1994	2.0427	6.8399	0.0678
002168.XSHE	0.026260162601626006	2017-10-30	2076367370.02	695115793.85	139.4182	-2.0074	-20.5775	183.6565	10.3275	-34.9446	-0.03
002169.XSHE	0.016097560975609753	2017-10-30	4116463561.36	1172330340.59	52.9396	0.5791	-18557.8223	47.5328	1.9502	4.3528	0.0201
002176.XSHE	0.03186991869918699	2017-10-21	8373573665.55	4282697834.96	213.4722	3.8645	-5557.9966	108.1984	5.6639	16.2353	0.1
002184.XSHE	-0.017642276422764242	2017-10-28	2262982407.36	1019216129.54	35.2085	0.4609	-2776.699	262.2228	3.2247	1.2196	0.0208
002196.XSHE	0.02821138211382113	2017-10-30	3092220981.74	648335014.9	56.8584	1.2203	-639.3213	48.0669	2.3668	8.7942	0.0661
002202.XSHE	-0.016666666666666673	2017-10-27	67825364750.81	45406223645.02	464.4402	5.5052	-29.9026	15.466	2.5045	16.2982	0.322
002212.XSHE	0.027154471544715446	2017-10-30	9138333056.5	1506070943.02	208.9656	0.597	185.9285	297.3506	2.7636	3.5742	0.04
002218.XSHE	0.006422764227642273	2017-10-23	5446059826.55	2656345197.54	62.0644	1.2033	-43.2022	48.2195	2.2506	9.0195	0.027000000000000003
002227.XSHE	0.03585365853658537	2017-10-26	1015203393.99	220731457.95	50.7374	0.0784	-2222.636	556.6044	6.4	0.7049	0.0028
002249.XSHE	0.018048780487804877	2017-10-30	16216450146.58	6745708470.26	202.6367	0.7708	-182.6336	39.7834	2.3258	3.3788	0.03
002255.XSHE	0.009512195121951226	2017-10-20	3851312437.31	1337512083.1	46.8579	1.1088	1031.2179	62.1849	1.986	8.8806	0.0424
002266.XSHE	0.005691056910569107	2017-10-27	7160025468.2	3401346637.28	93.7913	0.8622	53.5672	145.8097	3.1727	10.8358	0.013000000000000001
002270.XSHE	0.006991869918699182	2017-10-25	2846341827.55	822914797.55	57.6516	2.4326	-17.5323	24.3205	2.9264	23.4508	0.0958
002276.XSHE	0.027886178861788617	2017-10-23	6640267657.93	2703546128.18	119.0812	0.6327	14.404000000000002	55.3305	3.0655	1.2004	0.0242
002298.XSHE	0.016829268292682928	2017-10-26	5821960941.51	1422091858.89	77.9988	0.8340000000000001	11.7012	50.0641	1.8521	8.0937	0.0503
